01, 020, 030, 149, 10.0, 0.068
02, 020, 030, 149, 10.0, 0.066
01, 020, 040, 001, 7.7, 0.000
02, 020, 040, 079, 7.1, 0.000
03, 020, 040, 031, 5.5, 0.000
04, 020, 030, 077, 4.9, 0.000
05, 020, 030, 110, 4.9, 0.000
06, 020, 030, 149, 6.6, 0.000
07, 020, 030, 003, 1.1, 0.003
08, 020, 030, 106, 3.5, 0.000
09, 020, 030, 140, 3.8, 0.000
10, 020, 030, 149, 4.2, 0.000
01, 020, 030, 114, 10.0, 0.824
02, 020, 030, 114, 10.0, 0.824
03, 020, 030, 114, 10.0, 0.823
04, 020, 030, 114, 10.0, 0.823
05, 020, 030, 114, 10.0, 0.823
06, 020, 030, 114, 10.0, 0.824
07, 020, 030, 114, 10.0, 0.815
08, 020, 030, 114, 10.0, 0.822
09, 020, 030, 114, 10.0, 0.822
10, 020, 030, 114, 10.0, 0.823
01, 020, 040, 001, 7.7, 0.000
02, 020, 040, 079, 7.1, 0.000
03, 020, 040, 031, 5.5, 0.000
04, 020, 030, 077, 4.9, 0.000
05, 020, 030, 110, 4.9, 0.000
06, 020, 030, 149, 6.6, 0.000
07, 020, 030, 003, 1.1, 0.003
08, 020, 030, 106, 3.5, 0.000
09, 020, 030, 140, 3.8, 0.000
10, 020, 030, 149, 4.2, 0.000
01, 020, 040, 001, 7.7, 0.000
01, 020, 040, 001, 7.7, 0.000
01, 020, 040, 001, 7.7, 0.000
01, 020, 040, 001, 7.7, 0.000
01, 020, 040, 001, 7.7, 0.000
02, 020, 040, 079, 7.1, 0.000
03, 020, 040, 031, 5.5, 0.000
04, 020, 030, 077, 4.9, 0.000
05, 020, 030, 110, 4.9, 0.000
06, 020, 030, 149, 6.6, 0.000
07, 020, 030, 003, 1.1, 0.003
08, 020, 030, 106, 3.5, 0.000
09, 020, 030, 140, 3.8, 0.000
10, 020, 030, 149, 4.2, 0.000
01, 020, 040, 001, 7.5, 0.000
02, 010, 020, 049, 7.0, 0.000
03, 020, 040, 001, 5.4, 0.000
04, 010, 020, 049, 4.8, 0.000
05, 010, 020, 049, 4.8, 0.001
06, 010, 020, 049, 6.5, 0.001
07, 020, 040, 001, 1.1, 0.010
08, 010, 020, 049, 3.5, 0.001
09, 020, 040, 079, 3.8, 0.001
10, 010, 020, 049, 4.2, 0.001
01, 020, 040, 001, 7.7, 0.000
02, 020, 040, 079, 7.1, 0.000
03, 020, 040, 031, 5.5, 0.000
04, 020, 030, 077, 4.9, 0.000
05, 020, 030, 110, 4.9, 0.000
06, 020, 030, 149, 6.6, 0.000
07, 020, 030, 003, 1.1, 0.003
08, 020, 030, 106, 3.5, 0.000
09, 020, 030, 140, 3.8, 0.000
10, 020, 030, 149, 4.2, 0.000
